item_number,set_name,theme,pieces,price,amazon_price,year,ages,pages,minifigures,packaging,weight,unique_pieces,size
41916,Extra Dots - Series 2,DOTS,109,3.99,3.44,2020,Ages_6+,"NA","NA",Foil pack,"NA",6,Small
41908,Extra Dots - Series 1,DOTS,109,3.99,3.99,2020,Ages_6+,"NA","NA",Foil pack,"NA",6,Small
11006,Creative Blue Bricks,Classic,52,4.99,4.93,2020,Ages_4+,37,"NA",Box,"NA",28,Small
11007,Creative Green Bricks,Classic,60,4.99,4.93,2020,Ages_4+,37,"NA",Box,"NA",36,Small
41901,Funky Animals Bracelet,DOTS,33,4.99,4.99,2020,Ages_6+,"NA","NA",Foil pack,"NA",10,Small
41902,Sparkly Unicorn Bracelet,DOTS,33,4.99,4.99,2020,Ages_6+,"NA","NA",Foil pack,"NA",9,Small
41903,Cosmic Wonder Bracelet,DOTS,33,4.99,4.99,2020,Ages_6+,"NA","NA",Foil pack,"NA",9,Small
41911,Go Team! Bracelet,DOTS,33,4.99,4.99,2020,Ages_6+,"NA","NA",Foil pack,"NA",12,Small
41912,Love Birds Bracelet,DOTS,33,4.99,4.99,2020,Ages_6+,"NA","NA",Foil pack,"NA",10,Small
41917,Magic Forest Bracelet,DOTS,33,4.99,4.99,2020,Ages_6+,"NA","NA",Foil pack,"NA",9,Small
41919,Power Bracelet,DOTS,33,4.99,4.99,2020,Ages_6+,"NA","NA",Foil pack,"NA",12,Small
10917,Fire Truck,DUPLO®,6,6.99,6.29,2020,Ages_1½+,3,"NA",Box with backing card,0.15Kg (0.33 lb),6,Large
10918,Tow Truck,DUPLO®,7,6.99,6.29,2020,Ages_1½+,3,"NA",Box with backing card,"NA",7,Large
41386,Stephanie's Summer Heart Box,Friends,95,7.99,7.71,2019,Ages_6+,40,1,Other,"NA",52,Small
11010,White Baseplate,Classic,1,7.99,7.86,2020,Ages_4+,1,"NA",Shrink-wrapped,"NA",1,Small
10883,My First Tow Truck,DUPLO®,11,9.99,7.99,2019,Ages_1½+,10,"NA",Box,0.26Kg (0.57 lb),10,Large
10766,Woody & RC,Disney™,69,9.99,7.99,2019,Ages_4+,28,1,Box,"NA",36,Small
41388,Mia's Summer Heart Box,Friends,85,7.99,7.99,2019,Ages_6+,36,1,Other,"NA",41,Small
41387,Olivia's Summer Heart Box,Friends,93,7.99,7.99,2019,Ages_6+,40,2,Other,"NA",48,Small
60239,Police Patrol Car,City,92,9.99,8.35,2019,Ages_5+,36,1,Box,0.15Kg (0.33 lb),52,Small
41452,Prince Puppycorn Trike,Unikitty!™,101,9.99,8.9499999999999993,2018,Ages_5-12,56,3,Box,0.15Kg (0.33 lb),65,Small
71714,Kai Avatar - Arcade Pod,NINJAGO®,49,9.99,8.99,2020,Ages_7+,3,2,Box with backing card,"NA",31,Small
71715,Jay Avatar - Arcade Pod,NINJAGO®,47,9.99,8.99,2020,Ages_7+,3,2,Box with backing card,"NA",28,Small
10897,My First Minnie Build,Disney™,10,9.99,8.99,2019,Ages_1½+,10,"NA",Box,0.25Kg (0.55 lb),9,Small
